# numservices[h/n],target(%),factor,significant[k],overhead(%),avail(%),price,time(ms)
5,0.9900,2,10,1.30,0.9946,6.82,5.58
5,0.9900,3,1,0.00,0.0000,0.00,9.58
5,0.9900,4,1,0.00,0.0000,0.00,9.62
6,0.9000,1,6,0.83,0.9994,8.81,2.66
6,0.9000,2,12,0.75,0.9736,8.81,3.91
6,0.9000,3,1,0.00,0.0000,0.00,20.24
6,0.9000,4,1,0.00,0.0000,0.00,20.26
6,0.9100,1,6,0.83,0.9994,8.81,2.62
6,0.9100,2,12,0.75,0.9736,8.81,3.94
6,0.9100,3,1,0.00,0.0000,0.00,20.22
6,0.9100,4,1,0.00,0.0000,0.00,20.27
6,0.9200,1,6,0.83,0.9994,8.81,2.65
6,0.9200,2,12,0.75,0.9736,8.81,3.92
6,0.9200,3,1,0.00,0.0000,0.00,20.29
6,0.9200,4,1,0.00,0.0000,0.00,20.20
6,0.9300,1,6,0.83,0.9994,8.81,2.65
6,0.9300,2,12,0.75,0.9736,8.81,3.92
6,0.9300,3,1,0.00,0.0000,0.00,20.27
6,0.9300,4,1,0.00,0.0000,0.00,20.41
6,0.9400,1,6,0.83,0.9994,8.81,2.62
6,0.9400,2,12,0.75,0.9736,8.81,3.94
6,0.9400,3,1,0.00,0.0000,0.00,20.23
6,0.9400,4,1,0.00,0.0000,0.00,20.20
6,0.9500,1,6,0.83,0.9994,8.81,2.61
6,0.9500,2,12,0.75,0.9736,8.81,3.95
6,0.9500,3,1,0.00,0.0000,0.00,20.34
6,0.9500,4,1,0.00,0.0000,0.00,20.27
6,0.9600,1,6,0.83,0.9994,8.81,2.61
6,0.9600,2,12,0.75,0.9736,8.81,3.92
6,0.9600,3,1,0.00,0.0000,0.00,20.28
6,0.9600,4,1,0.00,0.0000,0.00,20.21
6,0.9700,1,6,0.83,0.9994,8.81,2.67
6,0.9700,2,12,0.75,0.9736,8.81,4.08
6,0.9700,3,1,0.00,0.0000,0.00,20.23
6,0.9700,4,1,0.00,0.0000,0.00,20.31
6,0.9800,1,6,0.83,0.9994,8.81,2.70
6,0.9800,2,12,0.83,0.9838,8.81,7.91
6,0.9800,3,1,0.00,0.0000,0.00,20.32
6,0.9800,4,1,0.00,0.0000,0.00,20.52
6,0.9900,1,6,0.83,0.9994,8.81,2.65
6,0.9900,2,12,1.08,0.9950,8.81,16.17
6,0.9900,3,1,0.00,0.0000,0.00,20.20
6,0.9900,4,1,0.00,0.0000,0.00,20.36
7,0.9000,1,7,0.43,0.9962,11.44,5.71
7,0.9000,2,14,0.71,0.9508,11.44,11.45
7,0.9000,3,21,0.86,0.9407,11.44,25.85
7,0.9000,4,1,0.00,0.0000,0.00,43.65
7,0.9100,1,7,0.43,0.9962,11.44,5.75
7,0.9100,2,14,0.71,0.9508,11.44,11.59
7,0.9100,3,21,0.86,0.9407,11.44,25.96
7,0.9100,4,1,0.00,0.0000,0.00,43.60
7,0.9200,1,7,0.43,0.9962,11.44,5.70
7,0.9200,2,14,0.71,0.9508,11.44,11.41
7,0.9200,3,21,0.86,0.9407,11.44,25.88
7,0.9200,4,1,0.00,0.0000,0.00,43.60
7,0.9300,1,7,0.43,0.9962,11.44,5.70
7,0.9300,2,14,0.71,0.9508,11.44,11.48
7,0.9300,3,21,0.86,0.9407,11.44,26.01
7,0.9300,4,1,0.00,0.0000,0.00,43.51
7,0.9400,1,7,0.43,0.9962,11.44,5.70
7,0.9400,2,14,0.71,0.9508,11.44,11.42
7,0.9400,3,21,0.86,0.9407,11.44,25.89
7,0.9400,4,1,0.00,0.0000,0.00,43.44
7,0.9500,1,7,0.43,0.9962,11.44,5.71
7,0.9500,2,14,0.71,0.9508,11.44,11.50
7,0.9500,3,21,1.05,0.9891,11.44,34.57
7,0.9500,4,1,0.00,0.0000,0.00,43.53
7,0.9600,1,7,0.43,0.9962,11.44,5.74
7,0.9600,2,14,0.79,0.9789,11.44,17.12
7,0.9600,3,21,1.05,0.9891,11.44,35.41
7,0.9600,4,1,0.00,0.0000,0.00,43.65
7,0.9700,1,7,0.43,0.9962,11.44,5.70
7,0.9700,2,14,0.79,0.9789,11.44,17.14
7,0.9700,3,21,1.05,0.9891,11.44,34.71
7,0.9700,4,1,0.00,0.0000,0.00,43.51
7,0.9800,1,7,0.43,0.9962,11.44,5.70
7,0.9800,2,14,0.86,0.9904,11.44,20.18
7,0.9800,3,21,1.05,0.9891,11.44,34.57
7,0.9800,4,1,0.00,0.0000,0.00,43.62
7,0.9900,1,7,0.43,0.9962,11.44,5.71
7,0.9900,2,14,0.86,0.9904,11.44,20.06
7,0.9900,3,1,0.00,0.0000,0.00,43.54
7,0.9900,4,1,0.00,0.0000,0.00,43.79
8,0.9000,1,8,0.25,0.9763,12.68,12.50
8,0.9000,2,16,0.75,0.9632,12.68,37.53
8,0.9000,3,24,0.88,0.9292,12.68,68.88
8,0.9000,4,1,0.00,0.0000,0.00,94.91
8,0.9100,1,8,0.25,0.9763,12.68,12.56
8,0.9100,2,16,0.75,0.9632,12.68,37.66
8,0.9100,3,24,0.88,0.9292,12.68,69.43
8,0.9100,4,1,0.00,0.0000,0.00,96.72
8,0.9200,1,8,0.25,0.9763,12.68,12.60
8,0.9200,2,16,0.75,0.9632,12.68,38.44
8,0.9200,3,24,0.88,0.9292,12.68,70.12
8,0.9200,4,1,0.00,0.0000,0.00,95.47
8,0.9300,1,8,0.25,0.9763,12.68,12.59
8,0.9300,2,16,0.75,0.9632,12.68,38.17
8,0.9300,3,1,0.00,0.0000,0.00,95.99
8,0.9300,4,1,0.00,0.0000,0.00,96.38
8,0.9400,1,8,0.25,0.9763,12.68,12.77
8,0.9400,2,16,0.75,0.9632,12.68,38.26
8,0.9400,3,1,0.00,0.0000,0.00,95.50
8,0.9400,4,1,0.00,0.0000,0.00,95.05
8,0.9500,1,8,0.25,0.9763,12.68,12.56
8,0.9500,2,16,0.75,0.9632,12.68,37.94
8,0.9500,3,1,0.00,0.0000,0.00,94.87
8,0.9500,4,1,0.00,0.0000,0.00,94.72
8,0.9600,1,8,0.25,0.9763,12.68,12.55
8,0.9600,2,16,0.75,0.9632,12.68,37.70
8,0.9600,3,1,0.00,0.0000,0.00,94.48
8,0.9600,4,1,0.00,0.0000,0.00,94.88
8,0.9700,1,8,0.25,0.9763,12.68,12.61
8,0.9700,2,16,0.94,0.9923,12.68,43.87
8,0.9700,3,1,0.00,0.0000,0.00,95.08
8,0.9700,4,1,0.00,0.0000,0.00,94.71
8,0.9800,1,8,0.75,0.9995,12.68,18.87
8,0.9800,2,16,0.94,0.9923,12.68,43.72
8,0.9800,3,1,0.00,0.0000,0.00,94.42
8,0.9800,4,1,0.00,0.0000,0.00,93.82
8,0.9900,1,8,0.75,0.9995,12.68,18.88
8,0.9900,2,16,0.94,0.9923,12.68,43.86
8,0.9900,3,1,0.00,0.0000,0.00,94.22
